,시설명,박물관미술관구분,소재지도로명주소,소재지지번주소,위도,경도,운영기관전화번호,운영기관명,운영홈페이지,편의시설정보,평일관람시작시각,평일관람종료시각,공휴일관람시작시각,공휴일관람종료시각,휴관정보,어른관람료,청소년관람료,어린이관람료,관람료기타정보,박물관미술관소개,교통안내정보,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명,소속구
12,국립경찰박물관,국립,서울특별시 종로구 송월길 162,서울특별시 종로구 행촌동 211-1,37.57206838,126.9621917,182,경찰청,,,9:30,18:00,9:30,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)+1월1일+설 연휴+추석 연휴",0,0,0,,,,182,경찰청,2023-10-10,1371000,문화체육관광부,종로구
13,국립고궁박물관,국립,서울특별시 종로구 효자로 12,,37.576585,126.9749748,02-3701-7500,국립고궁박물관,,,10:00,18:00,10:00,18:00,1월1일+설 당일+추석 당일,0,0,0,,,,02-3701-7500,국립고궁박물관,2023-10-10,1371000,문화체육관광부,종로구
14,국립관세박물관,국립,서울특별시 강남구 언주로 721,,37.518374,127.0337788,02-510-1080,서울본부세관,,,10:00,17:00,0:00,0:00,공휴일,0,0,0,,,,02-510-1080,서울본부세관,2023-10-10,1371000,문화체육관광부,강남구
15,국립기상박물관,국립,서울특별시 종로구 송월길 52,,37.57022174,126.9662042,070-7850-8493,기상청,,,10:00,18:00,10:00,18:00,월+1월1일+설 당일+추석 당일+선거일,0,0,0,,,,070-7850-8493,기상청,2023-10-10,1371000,문화체육관광부,종로구
16,국토발전전시관,국립,서울특별시 중구 정동길 18,,37.56681018,126.970081,02-3425-8900,서울지방국토관리청,,,9:30,17:30,9:30,17:30,월+1월1일+설+추석,0,0,0,,,,02-3425-8900,서울지방국토관리청,2023-10-10,1371000,문화체육관광부,중구
17,국회 헌정기념관,국립,서울특별시 영등포구 의사당대로 1,,37.53291197,126.9164039,02-6788-2269,국회사무처,,,0:00,0:00,0:00,0:00,휴관,0,0,0,,,,02-6788-2269,국회사무처,2023-10-10,1371000,문화체육관광부,영등포구
18,석조전 대한제국역사관,국립,서울특별시 중구 세종대로 99,,37.56616815,126.9739838,02-771-9952,문화재청 궁능유적본부 덕수궁관리소,,,9:30,18:00,9:30,18:00,월,1000,0,0,특별전시입장료-일반(1000),,,02-771-9952,문화재청 궁능유적본부 덕수궁관리소,2023-10-10,1371000,문화체육관광부,중구
19,육군박물관,국립,서울특별시 노원구 화랑로 574,,37.62973006,127.0979586,02-2197-0114,육군본부(육군사관학교),,,10:00,17:00,10:00,17:00,월+설 연휴+추석 연휴,0,0,0,,,,02-2197-0114,육군본부(육군사관학교),2023-10-10,1371000,문화체육관광부,노원구
20,한국영화박물관,국립,서울특별시 마포구 월드컵북로 400,,37.58045107,126.8898935,02-3153-2001,한국영상자료원,,,10:00,18:30,10:00,17:30,월+1월1일+설 연휴+추석 연휴+창립기념일(1월 18일),0,0,0,,,,02-3153-2001,한국영상자료원,2023-10-10,1371000,문화체육관광부,마포구
21,둘리뮤지엄,공립,서울특별시 도봉구 시루봉로1길 6,,37.65242986,127.027674,02-908-2900,(재)도봉문화재단,,,10:00,18:00,10:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)+1월1일+추석 및 설 연휴 당일",5000,5000,5000,,,,02-908-2900,(재)도봉문화재단,2023-10-10,1371000,문화체육관광부,도봉구
22,서대문자연사박물관,공립,서울특별시 서대문구 연희로32길 51,,37.57675199,126.9378582,02-330-8899,서대문자연사박물관,,,9:00,17:00,9:00,18:00,"월+1월1일+설 당일+추석 당일(단, 월요일이 공휴일인 경우 다음날 휴관)",6000,3000,2000,,,,02-330-8899,서대문자연사박물관,2023-10-10,1371000,문화체육관광부,서대문구
23,서대문형무소역사관,공립,서울특별시 서대문구 통일로 251,,37.57460851,126.9556118,02-360-8590,서대문구도시관리공단,,,9:30,18:00,9:30,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음날 휴관)+설 당일+추석 당일",3000,1500,1000,특별전시입장료-일반(3000)+특별전시입장료-초등학생(1000)+특별전시입장료-청소년(1500)+특별전시입장료-19~25세(3000),,,02-360-8590,서대문구도시관리공단,2023-10-10,1371000,문화체육관광부,서대문구
24,서소문성지 역사박물관,공립,서울특별시 중구 칠패로 5,,37.56056785,126.9688672,02-3147-2404,재)천주교서울대교구유지재단,,,9:30,17:30,9:30,17:30,월+1월1일+설 당일+추석 당일,0,0,0,,,,02-3147-2404,재)천주교서울대교구유지재단,2023-10-10,1371000,문화체육관광부,중구
25,서울공예박물관,공립,서울특별시 종로구 율곡로3길 4,,37.57664817,126.9835334,02-6450-7000,서울공예박물관,,,10:00,18:00,10:00,18:00,"월(단, 월요일이 공휴일인 경우 개관)+1월1일",0,0,0,,,,02-6450-7000,서울공예박물관,2023-10-10,1371000,문화체육관광부,종로구
26,서울교육박물관,공립,서울특별시 종로구 북촌로5길 48,,37.58126545,126.9838701,02-2011-5712,정독도서관,,,9:00,18:00,9:00,17:00,매월 첫째주 수요일+매월 셋째주 수요일+국경일,0,0,0,,,,02-2011-5712,정독도서관,2023-10-10,1371000,문화체육관광부,종로구
27,서울상상나라,공립,서울특별시 광진구 능동로 216,,37.5520117,127.0787724,02-6450-9500,뮤지엄경영연구소+서울시설공단,,,10:00,18:00,10:00,18:00,월+1월1일+설 연휴+추석 연휴,4000,4000,4000,,,,02-6450-9500,뮤지엄경영연구소+서울시설공단,2023-10-10,1371000,문화체육관광부,광진구
28,서울생활사박물관,공립,서울특별시 노원구 동일로174길 27,,37.62017392,127.0769362,02-724-0274,서울역사박물관,,,9:00,18:00,9:00,18:00,월,0,0,0,,,,02-724-0274,서울역사박물관,2023-10-10,1371000,문화체육관광부,노원구
29,서울약령시한의약박물관,공립,서울특별시 동대문구 약령중앙로 26,,37.58060041,127.0375866,02-969-9241,서울약령시한의약박물관,,,10:00,17:00,10:00,17:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관) 설 당일+추석 당일",1000,500,500,,,,02-969-9241,서울약령시한의약박물관,2023-10-10,1371000,문화체육관광부,동대문구
30,서울역사박물관,공립,서울특별시 종로구 새문안로 55,,37.57049685,126.9710752,02-724-0274,서울역사박물관,,,9:00,18:00,9:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관)",0,0,0,,,,02-724-0274,서울역사박물관,2023-10-10,1371000,문화체육관광부,종로구
31,서울우리소리박물관,공립,서울특별시 종로구 율곡로 96,,37.57715793,126.989622,02-721-7501,서울특별시,,,9:00,18:00,9:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)",0,0,0,,,,02-721-7501,서울특별시,2023-10-10,1371000,문화체육관광부,종로구
32,성북선잠박물관,공립,서울특별시 성북구 성북로 96,,37.5932329,126.9982198,02-2241-2601,서울특별시 성북구 성북구청,,,10:00,18:00,10:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)+1월1일+설 연휴+추석 연휴",1000,800,500,특별전시입장료-일반(1000)+특별전시입장료-초등학생(500)+특별전시입장료-청소년(800)+특별전시입장료-19~25세(1000),,,02-2241-2601,서울특별시 성북구 성북구청,2023-10-10,1371000,문화체육관광부,성북구
33,손기정기념관,공립,서울특별시 중구 손기정로 101,,37.5554795,126.9648157,02-364-1936,손기정기념재단,,,9:00,18:00,9:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)",0,0,0,,,,02-364-1936,손기정기념재단,2023-10-10,1371000,문화체육관광부,중구
34,송파책박물관,공립,서울특별시 송파구 송파대로37길 77,,37.49888418,127.1043834,02-2147-2486,송파책박물관,,,10:10,18:00,10:00,18:00,월(월요일이 공휴일인 경우 그 다음날)+1월1일+설날 당일+추석 당일+기타 송파구청장이 필요하다고 인정하여 정하는 날,0,0,0,,,,02-2147-2486,송파책박물관,2023-10-10,1371000,문화체육관광부,송파구
35,수도박물관,공립,서울특별시 성동구 왕십리로 27,,37.54219028,127.0393032,02-3146-5936,뚝도아리수정수센터,,,10:00,18:00,10:00,18:00,월+1월1일+설 당일+추석 당일,0,0,0,,,,02-3146-5936,뚝도아리수정수센터,2023-10-10,1371000,문화체육관광부,성동구
36,암사동선사유적박물관,공립,서울특별시 강동구 올림픽로 875,,37.55985237,127.1308334,02-3425-6520,서울특별시 강동구청,,,9:30,18:00,9:30,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)",0,0,0,,,,02-3425-6520,서울특별시 강동구청,2023-10-10,1371000,문화체육관광부,강동구
37,은평역사한옥박물관,공립,서울특별시 은평구 연서로50길 8,,37.64033363,126.9380082,02-351-8524,서울특별시 은평구,,,9:00,18:00,9:00,18:00,"월(단, 월요일이 공휴일인 경우 당일은 개관하고 그 다음 첫번째 평일에 휴관)",1000,500,500,,,,02-351-8524,서울특별시 은평구,2023-10-10,1371000,문화체육관광부,은평구
38,청계천박물관,공립,서울특별시 성동구 청계천로 530,,37.57126617,127.0350432,02-2286-3410,청계천박물관,,,9:00,18:00,9:00,18:00,월+1월1일,0,0,0,,,,02-2286-3410,청계천박물관,2023-10-10,1371000,문화체육관광부,성동구
39,한성백제박물관,공립,서울특별시 송파구 위례성대로 71,,37.51542872,127.1208007,02-2152-5800,한성백제박물관,,,9:00,19:00,9:00,19:00,월+1월1일,0,0,0,,,,02-2152-5800,한성백제박물관,2023-10-10,1371000,문화체육관광부,송파구
40,허준박물관,공립,서울특별시 강서구 허준로 87,,37.56787245,126.8510312,02-2607-4233,강서문화원,,,10:00,18:00,10:00,17:00,월+1월1일+설 당일+추석 당일,1000,500,500,특별전시입장료-일반(1000)+특별전시입장료-초등학생(500)+특별전시입장료-청소년(500)+특별전시입장료-19~25세(1000),,,02-2607-4233,강서문화원,2023-10-10,1371000,문화체육관광부,강서구
